time,distance
1,0.4196599965
2,1.350692127
3,2.470342259
4,1.566856227
5,1.595279976
6,2.227336611
7,2.513842077
8,2.792762618
9,2.760862409
10,3.507441504
11,3.007364501
12,2.966154637
13,3.009406122
14,3.144768306
15,3.455030954
16,3.488179523
17,4.302501334
18,4.234712758
19,3.944457876
20,4.032209815
21,3.537402828
22,4.032342789
23,4.092905213
24,4.032039654
25,3.434474208
26,3.863563021
27,3.88175868
28,4.1175302
29,3.531499293
30,4.415946442
31,4.262454032
32,3.835121721
33,4.099318976
34,3.711146732
35,4.3284741
36,3.943412024
37,3.766193574
38,5.044465788
39,3.837770503
40,4.567314752
41,4.63381803
42,4.174087271
43,4.86781974
44,4.492786778
45,4.666815713
46,4.041678128
47,4.384921439
48,4.883660653
49,5.137190154
50,4.305794095
51,4.509140993
52,4.701956433
53,4.905088043
54,4.969424795
55,5.256217499
56,5.112982788
57,4.317173312
58,5.382970884
59,5.537723044
60,4.156507985
61,4.503889225
62,3.903925603
63,5.20074328
64,4.965267909
65,4.856872192
66,4.494523875
67,4.888339572
68,4.812070195
69,4.467776746
70,4.538615718
71,4.502050119
72,5.266750991
73,5.309765945
74,5.159019306
75,5.047683255
76,4.744237158
77,4.94292102
78,5.316605797
79,4.645656129
80,5.724966879
81,5.524821981
82,4.972368408
83,4.487130239
84,4.92891978
85,4.907550456
86,5.593726332
87,4.517194603
88,4.724507685
89,4.602366389
90,5.286315033
91,5.626348007
92,5.053576805
93,5.393308236
94,4.832512953
95,5.131530248
96,5.153771785
97,5.380967818
98,5.917955373
99,5.327953063
100,5.35951178
101,5.237689897
102,5.827285494
103,5.892980935
104,5.262829201
105,5.455446953
106,5.890393233
107,5.923312116
108,5.515320984
109,5.367638777
110,5.960391539
111,5.386709753
112,5.552462703
113,5.726067644
114,5.204580744
115,4.769533385
116,5.521535401
117,5.614338836
118,5.489650714
119,5.701320964
120,5.694415762